City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Goundam,ML,16.4145,-3.6708,102.31,12,97,5.77,overcast clouds
239,Kargasok,RU,59.0556,80.8572,60.6,87,35,8.59,scattered clouds
240,Killybegs,IE,54.6333,-8.45,58.71,68,6,5.73,clear sky
241,Kuytun,RU,54.3419,101.5036,54.05,74,69,3.29,broken clouds
242,Makokou,GA,0.5738,12.8642,71.69,84,99,2.57,light rain
243,Tamandare,BR,-8.7597,-35.1047,76.6,80,70,10.51,broken clouds
244,Khujner,IN,23.7833,76.6,74.25,92,68,5.55,broken clouds
245,Kelc,CZ,49.4784,17.8153,66.42,91,0,2.77,clear sky
246,Svetlyy,RU,54.675,20.1347,66.25,84,100,13.69,overcast clouds
247,Sheopur,IN,25.6667,76.7,78.6,89,73,6.15,heavy intensity rain
248,Havelock,US,34.8791,-76.9013,93.15,78,40,16.11,scattered clouds
249,Carhuamayo,PE,-10.9167,-76.0333,45.3,61,100,10.04,overcast clouds
250,Bandarbeyla,SO,9.4942,50.8122,76.51,81,17,30.27,few clouds
251,Dingle,PH,10.9995,122.6711,76.48,92,56,3.98,broken clouds
252,Plettenberg Bay,ZA,-34.0527,23.3716,60.35,55,68,6.35,broken clouds
253,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,72,0,21.85,clear sky
254,Nueva Helvecia,UY,-34.3,-57.2333,74.59,73,100,7.9,overcast clouds
255,Ginir,ET,7.1333,40.7,65.32,54,83,11.1,broken clouds
256,Dudinka,RU,69.4058,86.1778,54.63,74,98,7.09,overcast clouds
257,Galle,LK,6.0367,80.217,77.94,89,87,7.05,overcast clouds
258,Farias Brito,BR,-6.9306,-39.5656,90.28,22,100,8.99,overcast clouds
259,Bafoulabe,ML,13.8065,-10.8321,85.73,69,100,4.23,overcast clouds
260,Porto Torres,IT,40.835,8.3972,82.58,67,0,6.82,clear sky
261,Voi,KE,-3.3945,38.563,68.43,80,98,12.41,overcast clouds
262,Balkhash,KZ,46.844,74.9804,77.67,29,9,2.91,clear sky
263,Usinsk,RU,65.9939,57.5281,52.03,68,43,9.24,scattered clouds
264,Inhambane,MZ,-23.865,35.3833,60.78,82,0,0.0,clear sky
265,Siaya,KE,0.0612,34.2882,67.69,69,100,4.14,overcast clouds
266,Aswan,EG,24.0934,32.907,101.5,7,0,8.05,clear sky
267,Chone,EC,-0.6833,-80.1,84.67,60,58,4.88,broken clouds
268,Yining,CN,29.0361,114.5636,79.75,75,76,0.92,broken clouds
269,Morondava,MG,-20.2833,44.2833,72.27,68,0,17.09,clear sky
270,Troitsko-Pechorsk,RU,62.7084,56.1964,50.61,72,100,1.68,overcast clouds
271,Rio Gallegos,AR,-51.6226,-69.2181,35.65,60,0,9.22,clear sky
272,Jumla,NP,29.2747,82.1838,62.01,98,99,1.92,overcast clouds
273,Digha,IN,21.6833,87.55,82.2,82,98,6.98,overcast clouds
274,Premia De Mar,ES,41.4921,2.3652,85.66,79,60,1.99,broken clouds
275,Arrecife,ES,28.963,-13.5477,87.78,48,0,26.46,clear sky
276,Constitucion,CL,-35.3333,-72.4167,55.85,82,100,10.98,overcast clouds
277,Sao Pedro,BR,-22.5486,-47.9139,84.24,25,0,5.37,clear sky
