City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Harper,LR,2022-05-08 10:26:15,4.375,-7.7169,82.47,80,98,8.88
197,Mantua,IT,2022-05-08 10:26:15,45.1667,10.7833,69.06,75,91,5.99
198,Poykovskiy,RU,2022-05-08 10:26:16,61.2333,73.3333,44.89,56,40,11.18
199,Kismayo,SO,2022-05-08 10:26:16,-0.3582,42.5454,85.64,70,65,17.65
200,Buta,CD,2022-05-08 10:26:17,2.7858,24.73,89.92,47,79,5.37
201,Murgab,TM,2022-05-08 10:26:18,37.4966,61.9714,84.07,42,100,11.5
202,Snasa,NO,2022-05-08 10:26:18,64.2457,12.3778,40.66,71,98,12.71
203,Muros,ES,2022-05-08 10:26:19,42.7762,-9.0603,72.09,54,63,4.03
204,Gamba,GA,2022-05-08 10:26:20,-2.65,10.0,85.77,67,21,4.61
205,Manjacaze,MZ,2022-05-08 10:26:21,-24.7117,33.8828,82.47,50,0,3.98
206,Caledon,ZA,2022-05-08 10:26:22,-34.23,19.4265,63.07,59,89,5.55
207,Tall Kayf,TR,2022-05-08 10:26:22,37.0833,41.0667,69.19,35,75,4.61
208,Henties Bay,NA,2022-05-08 10:26:23,-22.116,14.2845,62.76,64,0,5.5
209,Pangnirtung,CA,2022-05-08 10:26:24,66.1451,-65.7125,16.38,77,7,4.92
210,Kasongo-Lunda,CD,2022-05-08 10:26:24,-6.4667,16.8167,88.54,53,47,2.66
211,Kavaratti,IN,2022-05-08 10:26:25,10.5669,72.642,84.83,70,40,17.76
212,Rensvik,NO,2022-05-08 10:26:26,63.1,7.8167,46.06,75,40,12.66
213,Vari,GR,2022-05-08 10:26:27,37.8312,23.8081,75.61,47,33,5.01
214,Pozo Colorado,PY,2022-05-08 10:26:27,-23.4923,-58.7972,56.79,83,0,4.88
215,Matara,LK,2022-05-08 10:26:28,5.9485,80.5353,86.83,73,98,14.94
216,Bushehr,IR,2022-05-08 10:26:28,28.9684,50.8385,86.09,35,51,18.41
217,Coracora,PE,2022-05-08 10:26:29,-15.0333,-73.7833,44.83,79,64,2.19
218,Bonthe,SL,2022-05-08 10:27:30,7.5264,-12.505,76.66,85,100,4.32
219,Codrington,AU,2022-05-08 10:27:31,-38.2667,141.9667,51.48,73,49,4.38
